ANO_ELEICAO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,QT_VOTOS_SAMIR,QT_VOTOS_VALIDOS_SECAO,Local_Busca_Geografica
2024,RIO BRANCO,1,500,ESCOLA OSCAR FELICIO DE SOUZA,8,2534,"RIO BRANCO, Acre, Brasil, ESCOLA OSCAR FELICIO DE SOUZA"
2024,RIO BRANCO,9,388,ESCOLA ESTADUAL MARIA CHALUB LEITE,10,2305,"RIO BRANCO, Acre, Brasil, ESCOLA ESTADUAL MARIA CHALUB LEITE"
2024,RIO BRANCO,9,295,ESCOLA LOURIVAL SOMBRA,4,1058,"RIO BRANCO, Acre, Brasil, ESCOLA LOURIVAL SOMBRA"
2024,RIO BRANCO,1,25,COLÉGIO ESTADUAL BARÃO DO RIO BRANCO,8,1031,"RIO BRANCO, Acre, Brasil, COLÉGIO ESTADUAL BARÃO DO RIO BRANCO"
2024,RIO BRANCO,1,503,ESCOLA CLARISSE FECURY,5,3174,"RIO BRANCO, Acre, Brasil, ESCOLA CLARISSE FECURY"
2024,RIO BRANCO,9,104,ESCOLA FREI THIAGO MARIA MATIOLI,8,1627,"RIO BRANCO, Acre, Brasil, ESCOLA FREI THIAGO MARIA MATIOLI"
2024,RIO BRANCO,9,70,INSTITUTO SENAI DE TECNOLOGIA MADEIRA E MÓVEL,8,1554,"RIO BRANCO, Acre, Brasil, INSTITUTO SENAI DE TECNOLOGIA MADEIRA E MÓVEL"
2024,RIO BRANCO,1,24,CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - CEJA CENTRO,4,1074,"RIO BRANCO, Acre, Brasil, CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - CEJA CENTRO"
2024,RIO BRANCO,1,31,OCA RIO BRANCO,8,1066,"RIO BRANCO, Acre, Brasil, OCA RIO BRANCO"
2024,RIO BRANCO,1,635,INCRA - INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,12,3280,"RIO BRANCO, Acre, Brasil, INCRA - INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA"
2024,RIO BRANCO,9,282,ESCOLA FRANCISCO SALGADO FILHO,8,1031,"RIO BRANCO, Acre, Brasil, ESCOLA FRANCISCO SALGADO FILHO"
2024,RIO BRANCO,9,416,ESCOLA ESTADUAL MAJOR JOÃO CÂNCIO,4,2003,"RIO BRANCO, Acre, Brasil, ESCOLA ESTADUAL MAJOR JOÃO CÂNCIO"
2024,RIO BRANCO,9,191,INSTITUTO FEDERAL DO ACRE (IFAC) - TRANSACREANA,8,1180,"RIO BRANCO, Acre, Brasil, INSTITUTO FEDERAL DO ACRE (IFAC) - TRANSACREANA"
